train begin
In iteration 0/3000 , the loss is 2.7565625101783033
In iteration 100/3000 , the loss is 0.07193723152724707
In iteration 200/3000 , the loss is 0.02938212092130684
In iteration 300/3000 , the loss is 0.010737551205351002
In iteration 400/3000 , the loss is 0.01350940941958717
In iteration 500/3000 , the loss is 0.02880189501013763
In iteration 600/3000 , the loss is 0.04546843011000661
In iteration 700/3000 , the loss is 0.04101228075106227
In iteration 800/3000 , the loss is 0.016635318961040188
In iteration 900/3000 , the loss is 0.024328493437252453
In iteration 1000/3000 , the loss is 0.012513458397127156
In iteration 1100/3000 , the loss is 0.008913263794311994
In iteration 1200/3000 , the loss is 0.005046778228922119
In iteration 1300/3000 , the loss is 0.042058931444445065
In iteration 1400/3000 , the loss is 0.0030107136396443756
In iteration 1500/3000 , the loss is 0.00799602351697401
In iteration 1600/3000 , the loss is 0.0066317587167443
In iteration 1700/3000 , the loss is 0.003792344928281613
In iteration 1800/3000 , the loss is 0.0028723014510887387
In iteration 1900/3000 , the loss is 0.005339474845337032
In iteration 2000/3000 , the loss is 0.00570383354036785
In iteration 2100/3000 , the loss is 0.041060424072903244
In iteration 2200/3000 , the loss is 0.004622400173312836
In iteration 2300/3000 , the loss is 0.0008631611216294609
In iteration 2400/3000 , the loss is 0.002058701410377521
In iteration 2500/3000 , the loss is 0.01302087494709891
In iteration 2600/3000 , the loss is 0.006947075921067094
In iteration 2700/3000 , the loss is 0.0031003960774263536
In iteration 2800/3000 , the loss is 0.005908886573424547
In iteration 2900/3000 , the loss is 0.001668224525023881
The Accuracy is 0.9979591836734694

train begin
In iteration 0/3000 , the loss is 2.989458332995371
In iteration 100/3000 , the loss is 0.029242601894990377
In iteration 200/3000 , the loss is 0.030791713581138594
In iteration 300/3000 , the loss is 0.007713013082041073
In iteration 400/3000 , the loss is 0.01761984757982405
In iteration 500/3000 , the loss is 0.025390593839041978
In iteration 600/3000 , the loss is 0.02715647365176629
In iteration 700/3000 , the loss is 0.01896111490498739
In iteration 800/3000 , the loss is 0.026470960131927717
In iteration 900/3000 , the loss is 0.018247624689908634
In iteration 1000/3000 , the loss is 0.009617689000384108
In iteration 1100/3000 , the loss is 0.03373151013237
In iteration 1200/3000 , the loss is 0.017508452864546255
In iteration 1300/3000 , the loss is 0.05987780569350732
In iteration 1400/3000 , the loss is 0.0022711727602712957
In iteration 1500/3000 , the loss is 0.002425215564193285
In iteration 1600/3000 , the loss is 0.036646144246975196
In iteration 1700/3000 , the loss is 0.004097928889016282
In iteration 1800/3000 , the loss is 0.0014020538012173658
In iteration 1900/3000 , the loss is 0.0012818275605349626
In iteration 2000/3000 , the loss is 0.0009689364051249783
In iteration 2100/3000 , the loss is 0.0011056601492860714
In iteration 2200/3000 , the loss is 0.0015656268077340572
In iteration 2300/3000 , the loss is 0.0025749108787650556
In iteration 2400/3000 , the loss is 0.00274495742702432
In iteration 2500/3000 , the loss is 0.0008581073658352828
In iteration 2600/3000 , the loss is 0.0011382639813693064
In iteration 2700/3000 , the loss is 0.0029042253487512803
In iteration 2800/3000 , the loss is 0.009466115107103096
In iteration 2900/3000 , the loss is 0.001293522450316794
The Accuracy is 1.0

train begin
In iteration 0/3000 , the loss is 6.111257867347848
In iteration 100/3000 , the loss is 0.37446851200930165
In iteration 200/3000 , the loss is 0.2539441012467899
In iteration 300/3000 , the loss is 0.23819577944422937
In iteration 400/3000 , the loss is 0.26595332839177455
In iteration 500/3000 , the loss is 0.25255204070283166
In iteration 600/3000 , the loss is 0.2445882369727876
In iteration 700/3000 , the loss is 0.17828349909371463
In iteration 800/3000 , the loss is 0.31236029898656287
In iteration 900/3000 , the loss is 0.08856852858102927
In iteration 1000/3000 , the loss is 0.12639387692475837
In iteration 1100/3000 , the loss is 0.30451173477593474
In iteration 1200/3000 , the loss is 0.2476230932796461
In iteration 1300/3000 , the loss is 0.06683159174150018
In iteration 1400/3000 , the loss is 0.08644467083900832
In iteration 1500/3000 , the loss is 0.1020754714605184
In iteration 1600/3000 , the loss is 0.20290087764348963
In iteration 1700/3000 , the loss is 0.1302343012236409
In iteration 1800/3000 , the loss is 0.06425989907921234
In iteration 1900/3000 , the loss is 0.21323919590958093
In iteration 2000/3000 , the loss is 0.22327389269496267
In iteration 2100/3000 , the loss is 0.07928014154643147
In iteration 2200/3000 , the loss is 0.08658277457080045
In iteration 2300/3000 , the loss is 0.11773187411040091
In iteration 2400/3000 , the loss is 0.09433886916681927
In iteration 2500/3000 , the loss is 0.12299177916442113
In iteration 2600/3000 , the loss is 0.1287989745388989
In iteration 2700/3000 , the loss is 0.039235274918844563
In iteration 2800/3000 , the loss is 0.09704409478213366
In iteration 2900/3000 , the loss is 0.20999754316200928
The Accuracy is 0.9612403100775194

train begin
In iteration 0/3000 , the loss is 4.467400397905687
In iteration 100/3000 , the loss is 0.7728117188530442
In iteration 200/3000 , the loss is 0.5800964144238635
In iteration 300/3000 , the loss is 0.4971153340372773
In iteration 400/3000 , the loss is 0.13485960895618096
In iteration 500/3000 , the loss is 0.5987149743001917
In iteration 600/3000 , the loss is 0.22543761029193704
In iteration 700/3000 , the loss is 0.4581329682211888
In iteration 800/3000 , the loss is 0.1546536852711559
In iteration 900/3000 , the loss is 0.3714935082225611
In iteration 1000/3000 , the loss is 0.2726124624728807
In iteration 1100/3000 , the loss is 0.24337599311505687
In iteration 1200/3000 , the loss is 0.2950631353945284
